product_id,date,stock_received,damaged_stock,correct_stock
4452,2026-01-01,3,1,2
4452,2026-01-01,3,0,3
6405,2026-01-01,2,0,2
6405,2026-01-01,3,0,3
9436,2026-01-01,3,1,2
9436,2026-01-01,3,0,3
11422,2026-01-01,3,0,3
11422,2026-01-01,2,0,2
14145,2026-01-01,3,0,3
14145,2026-01-01,2,0,2
15314,2026-01-01,2,0,2
15314,2026-01-01,2,1,1
15314,2026-01-01,3,0,3
18035,2026-01-01,3,0,3
18035,2026-01-01,2,0,2
26060,2026-01-01,3,0,3
26060,2026-01-01,2,0,2
33797,2026-01-01,3,0,3
33797,2026-01-01,2,0,2
33797,2026-01-01,2,1,1
33955,2026-01-01,2,0,2
33955,2026-01-01,3,0,3
34186,2026-01-01,3,0,3
34186,2026-01-01,2,0,2
34200,2026-01-01,3,1,2
34200,2026-01-01,3,0,3
36412,2026-01-01,2,0,2
36412,2026-01-01,3,0,3
39154,2026-01-01,3,0,3
39154,2026-01-01,2,0,2
41853,2026-01-01,2,0,2
41853,2026-01-01,3,0,3
41853,2026-01-01,2,1,1
51036,2026-01-01,3,0,3
52729,2026-01-01,3,0,3
52729,2026-01-01,2,0,2
53833,2026-01-01,3,0,3
53833,2026-01-01,2,0,2
56589,2026-01-01,3,0,3
56589,2026-01-01,2,0,2
57405,2026-01-01,3,0,3
60619,2026-01-01,2,0,2
60619,2026-01-01,3,0,3
63769,2026-01-01,3,0,3
67197,2026-01-01,2,0,2
67197,2026-01-01,3,1,2
67197,2026-01-01,3,0,3
70969,2026-01-01,3,0,3
70969,2026-01-01,2,0,2
77308,2026-01-01,2,0,2
77308,2026-01-01,3,0,3
82484,2026-01-01,3,0,3
89084,2026-01-01,3,0,3
89084,2026-01-01,2,0,2
91670,2026-01-01,3,1,2
91670,2026-01-01,3,0,3
91670,2026-01-01,2,0,2
94225,2026-01-01,3,0,3
94225,2026-01-01,2,1,1
94225,2026-01-01,3,1,2
107548,2026-01-01,3,0,3
107548,2026-01-01,2,0,2
112390,2026-01-01,3,0,3
112390,2026-01-01,3,1,2
112390,2026-01-01,2,0,2
114414,2026-01-01,3,0,3
114414,2026-01-01,2,0,2
118820,2026-01-01,2,0,2
118820,2026-01-01,3,0,3
120385,2026-01-01,3,0,3
120532,2026-01-01,2,0,2
120532,2026-01-01,3,0,3
123983,2026-01-01,2,0,2
123983,2026-01-01,3,0,3
124290,2026-01-01,3,0,3
124290,2026-01-01,3,1,2
124290,2026-01-01,2,0,2
131136,2026-01-01,2,0,2
131136,2026-01-01,3,0,3
131748,2026-01-01,2,0,2
131748,2026-01-01,3,5,-2
131748,2026-01-01,3,1,2
131937,2026-01-01,3,0,3
131937,2026-01-01,2,0,2
133542,2026-01-01,3,0,3
136533,2026-01-01,3,0,3
137909,2026-01-01,2,0,2
137909,2026-01-01,2,1,1
137909,2026-01-01,3,0,3
140154,2026-01-01,2,0,2
140154,2026-01-01,3,1,2
140154,2026-01-01,3,0,3
140489,2026-01-01,3,0,3
140489,2026-01-01,2,1,1
144124,2026-01-01,2,1,1
144124,2026-01-01,3,0,3
146840,2026-01-01,3,0,3
146840,2026-01-01,3,1,2
153019,2026-01-01,2,0,2
153019,2026-01-01,3,0,3
154179,2026-01-01,3,0,3
154179,2026-01-01,2,0,2
154179,2026-01-01,3,1,2
171602,2026-01-01,2,0,2
171602,2026-01-01,3,0,3
183929,2026-01-01,3,0,3
183929,2026-01-01,2,0,2
186168,2026-01-01,3,0,3
186168,2026-01-01,2,0,2
187399,2026-01-01,3,0,3
187399,2026-01-01,2,0,2
194682,2026-01-01,3,0,3
196719,2026-01-01,2,0,2
196719,2026-01-01,3,0,3
217710,2026-01-01,2,0,2
217710,2026-01-01,3,0,3
219598,2026-01-01,3,0,3
219598,2026-01-01,2,0,2
222892,2026-01-01,3,0,3
222892,2026-01-01,2,0,2
228286,2026-01-01,3,0,3
228286,2026-01-01,2,0,2
228286,2026-01-01,2,1,1
237083,2026-01-01,2,0,2
237083,2026-01-01,3,0,3
240179,2026-01-01,3,0,3
240179,2026-01-01,2,0,2
243235,2026-01-01,3,0,3
243235,2026-01-01,2,0,2
256051,2026-01-01,2,0,2
256051,2026-01-01,3,0,3
256783,2026-01-01,3,0,3
256783,2026-01-01,2,0,2
257719,2026-01-01,3,0,3
257719,2026-01-01,2,0,2
264803,2026-01-01,2,0,2
264803,2026-01-01,3,0,3
272170,2026-01-01,3,0,3
272170,2026-01-01,2,0,2
274207,2026-01-01,3,0,3
274207,2026-01-01,2,1,1
274207,2026-01-01,2,0,2
284460,2026-01-01,2,0,2
284460,2026-01-01,3,0,3
287070,2026-01-01,3,0,3
287070,2026-01-01,2,0,2
291238,2026-01-01,3,0,3
291238,2026-01-01,2,0,2
298985,2026-01-01,3,0,3
298985,2026-01-01,2,1,1
298985,2026-01-01,2,0,2
300159,2026-01-01,3,0,3
300159,2026-01-01,2,0,2
305754,2026-01-01,2,0,2
305754,2026-01-01,3,0,3
305754,2026-01-01,3,1,2
306177,2026-01-01,3,0,3
313754,2026-01-01,2,0,2
313754,2026-01-01,3,0,3
313754,2026-01-01,3,1,2
317242,2026-01-01,3,0,3
317242,2026-01-01,2,0,2
319388,2026-01-01,3,0,3
319388,2026-01-01,2,0,2
324809,2026-01-01,2,0,2
324809,2026-01-01,3,0,3
327290,2026-01-01,3,0,3
327290,2026-01-01,2,0,2
328457,2026-01-01,2,0,2
328457,2026-01-01,3,0,3
329351,2026-01-01,2,0,2
329351,2026-01-01,3,0,3
336847,2026-01-01,3,0,3
337168,2026-01-01,2,0,2
337168,2026-01-01,3,0,3
349294,2026-01-01,2,0,2
349294,2026-01-01,3,0,3
354409,2026-01-01,2,0,2
354409,2026-01-01,3,1,2
354409,2026-01-01,3,0,3
361361,2026-01-01,2,0,2
361361,2026-01-01,3,0,3
365132,2026-01-01,2,0,2
365132,2026-01-01,3,0,3
365133,2026-01-01,3,0,3
366066,2026-01-01,2,0,2
366066,2026-01-01,3,0,3
367391,2026-01-01,2,4,-2
367391,2026-01-01,3,0,3
367391,2026-01-01,2,0,2
373536,2026-01-01,2,0,2
373536,2026-01-01,3,0,3
376447,2026-01-01,2,0,2
376447,2026-01-01,3,0,3
378230,2026-01-01,3,0,3
378230,2026-01-01,2,0,2
378287,2026-01-01,2,0,2
378287,2026-01-01,3,0,3
378676,2026-01-01,3,0,3
378676,2026-01-01,2,0,2
382511,2026-01-01,3,1,2
382511,2026-01-01,3,0,3
385113,2026-01-01,3,0,3
385113,2026-01-01,2,0,2
397973,2026-01-01,3,0,3
397973,2026-01-01,2,1,1
397973,2026-01-01,2,0,2
398340,2026-01-01,2,1,1
398340,2026-01-01,3,0,3
398340,2026-01-01,2,0,2
425341,2026-01-01,2,0,2
425341,2026-01-01,3,0,3
432617,2026-01-01,3,0,3
432617,2026-01-01,3,1,2
433521,2026-01-01,3,1,2
433521,2026-01-01,2,1,1
433521,2026-01-01,2,0,2
433521,2026-01-01,3,0,3
435929,2026-01-01,2,0,2
435929,2026-01-01,3,0,3
435929,2026-01-01,3,1,2
440875,2026-01-01,3,0,3
444361,2026-01-01,3,0,3
444361,2026-01-01,2,1,1
444361,2026-01-01,2,0,2
448752,2026-01-01,3,0,3
449106,2026-01-01,3,0,3
449106,2026-01-01,2,0,2
451812,2026-01-01,3,0,3
451812,2026-01-01,2,0,2
451933,2026-01-01,3,0,3
451933,2026-01-01,2,1,1
451933,2026-01-01,2,0,2
455083,2026-01-01,2,0,2
455083,2026-01-01,3,0,3
455755,2026-01-01,3,0,3
455755,2026-01-01,2,0,2
461804,2026-01-01,3,0,3
461804,2026-01-01,2,0,2
462526,2026-01-01,3,0,3
462526,2026-01-01,2,0,2
462526,2026-01-01,2,1,1
462526,2026-01-01,3,1,2
470449,2026-01-01,3,0,3
470449,2026-01-01,2,0,2
473647,2026-01-01,3,0,3
473647,2026-01-01,3,1,2
473929,2026-01-01,2,0,2
473929,2026-01-01,3,0,3
478531,2026-01-01,3,0,3
478531,2026-01-01,2,0,2
481843,2026-01-01,2,0,2
481843,2026-01-01,3,0,3
487065,2026-01-01,3,0,3
487065,2026-01-01,2,0,2
487931,2026-01-01,3,0,3
487931,2026-01-01,2,1,1
487931,2026-01-01,2,0,2
490602,2026-01-01,3,0,3
490602,2026-01-01,2,0,2
490939,2026-01-01,2,0,2
490939,2026-01-01,3,0,3
